level2_id,size,top_labels,top_types,display_label
0,43,10TH AIR ARMY; 10TH AIR DIVISION; 11TH ARMORED INFANTRY BRIGADE; 12TH ARMY; ALGERIANS; BAGHDAD UNIVERSITY; BANK OF KOREA; BELGIAN OFFICIALS; AURI; BITUNG; BRETAGNE; COMMUNIST PARTY OF GREECE (KKE); CHANGCHUN RAILWAY; IRANIAN KURDS; LAHUNI CHIEFS; LIBYAN ARMY; CONTROL YUAN; DJUANDA GOVERNMENT; JUSUF; KAHAR MUZAKKAR; DAROTS; ETHIOPIAN CONSULATE GENERAL; ETHIOPIAN SECURITY FORCES; GREATER SOMALIA LEAGUE; ANSEELE; BELGIAN CABINET; LAROCK; PAUL-HENRI SPAAK; FRENCH PRESIDENT OF THE ALGERIAN FEDERATION OF MAYORS; OUENZA IRON MINE; SWEDISH DIPLOMATS; TBILISI; KURDISH TRIBAL AREAS; LANCHOW; MOSLEM GUERRILLAS; TSINGHAI PROVINCE; FUKUDA; GENERAL MUSA; KEIDANREN; LT. GEN. HABIBULLAH; CHINMENS; DR. MOZAFAR BAQAI; ISMAIL SHAFAI; MENHALL PROSPECTING AND EXPLORATION COMPANY; ALGIERS JUNTA; COLONEL DE BOISSIEU; FLN MILITARY UNITS; GENERAL JOUHAUD; BRITISH UN DELEGATE JEBB; ISRAELI DELEGATION; MOHAMMED NATSIR; US B-29; AL BRIJ; HAQAL; SAUDI SHIP; SHAIKH HAMID; HABOMAI ISLANDS; KUNASHIRI; SHIKOTAN; YUGOSLAV NUCLEAR PROGRAM,"{""LEVEL1_COMMUNITY"": 43}",10TH AIR ARMY; 10TH AIR DIVISION; 11TH ARMORED INFANTRY BRIGADE; 12TH ARMY; ALGERIANS; BAGHDAD UNIVERSITY; BANK OF KOREA; BELGIAN OFFICIALS; AURI; BITUNG; BRETAGNE; COMMUNIST PARTY OF GREECE (KKE); CHANGCHUN RAILWAY; IRANIAN KURDS; LAHUNI CHIEFS; LIBYAN ARMY
1,15,"35TH ARMY; 7TH GUARDS MECHANIZED DIVISION; ABDOLLAH ENTEZAM; ABDULLAH GOVERNMENT; 11-MEMBER EXECUTIVE COUNCIL; 12-NATION COMMISSION; 21ST OF SEPTEMBER MOVEMENT; 308TH DIVISION; 1ST AIRBORNE BATTALION; 1ST INFANTRY DIVISION; 21ST DIVISION; 54TH BATTALION; 14TH DIVISION; 62 GROUP; ABADAN; ABAKUMOV; ABDALLAH AL-YAFI; ABDULLAH RIMAWI; ABD-AL HAMID BADAWI PASHA; ADMIRAL MANOLA; ABDUL RAHMAN AZZAM; ABUL PANAHI; AFRICAN REVOLUTIONARY FRONT FOR THE NATIONAL INDEPENDENCE OF PORTUGUESE COLONIES; AFRICAN REVOLUTIONARY FRONT FOR THE NATIONAL INDEPENDENCE OF PORTUGUESE COLONIES (FRAIN); 67TH ARMY; AFRICAN DEMOCRATIC RALLY; AFRICAN REGROUPMENT PARTY; AIR INDIA INTERNATIONAL; 20TH PARTY CONGRESS; ACADEMY OF SCIENCES, USSR; ADHEMAR DE BARROS; AFRICAN MEMBERS OF THE COMMUNITY; 26 OF JULY MOVEMENT; 8TH AND 10TH BOMBER DIVISIONS; ABYE; ADMIRAL AUBOYNEAU; ABBOUD GOVERNMENT; ABDOULAYE DIALLO; ABDUL RAHMAN; ABD AL-HAMID SARRAJ; ADMIRAL REFET ARKUN; AEGEAN SEA; AGFA FILM FACTORY; ALBANIAN WORKERS (COMMUNIST) PARTY; 10TH ARTILLERY DIVISION; 11TH ARMY; 13TH ARMY; 16 MAY 1961; AHMAD HUSSEIN; AMALGAMATED ENGINEERING UNION; AMERICAN CONSUL GENERAL IN SALISBURY; AMERICAN PETROLEUM COMPANY; ABDULLAH ABID; ABD AL-MAJID KUBAAR; ALBANIAN COUNCIL OF MINISTERS; AMBASSADOR CAFFREY; ABDALLAH IBRAHIM; ABDELKHALEK TORRES; ABDEL BEN DRISS; ABDERRAHIM BOUABID","{""LEVEL1_COMMUNITY"": 15}",35TH ARMY; 7TH GUARDS MECHANIZED DIVISION; ABDOLLAH ENTEZAM; ABDULLAH GOVERNMENT; 11-MEMBER EXECUTIVE COUNCIL; 12-NATION COMMISSION; 21ST OF SEPTEMBER MOVEMENT; 308TH DIVISION; 1ST AIRBORNE BATTALION; 1ST INFANTRY DIVISION; 21ST DIVISION; 54TH BATTALION; 14TH DIVISION; 62 GROUP; ABADAN; ABAKUMOV
2,1,DUTCH WARSHIPS; KIM CHUNG-YOL; KWON SUNG-YOL; SUKARNO GOVERNMENT,"{""LEVEL1_COMMUNITY"": 1}",DUTCH WARSHIPS; KIM CHUNG-YOL; KWON SUNG-YOL; SUKARNO GOVERNMENT
3,1,ANNA SEGHERS; ARNOLD ZWEIG; DEPUTY PRIME MINISTER RAU; GERHARD EISLER,"{""LEVEL1_COMMUNITY"": 1}",ANNA SEGHERS; ARNOLD ZWEIG; DEPUTY PRIME MINISTER RAU; GERHARD EISLER
4,1,BULGARIAN SECURITY POLICE; CHINESE CONSUL GENERAL IN SAIGON; CHINESE NATIONALIST FOREIGN OFFICE; US MILITARY MISSION TO THE IRANIAN ARMY,"{""LEVEL1_COMMUNITY"": 1}",BULGARIAN SECURITY POLICE; CHINESE CONSUL GENERAL IN SAIGON; CHINESE NATIONALIST FOREIGN OFFICE; US MILITARY MISSION TO THE IRANIAN ARMY
5,1,AMSTERDAM; BREMEN; DUTCH COMMUNIST-CONTROLLED DOCKERS UNION; HAMBURG,"{""LEVEL1_COMMUNITY"": 1}",AMSTERDAM; BREMEN; DUTCH COMMUNIST-CONTROLLED DOCKERS UNION; HAMBURG
6,1,COLONEL HASSAN PAKRAVAN; EXTREMIST PARTIES; GENERAL ALI KIA; GENERAL MOHAMMAD TAGHI MAJIDI,"{""LEVEL1_COMMUNITY"": 1}",COLONEL HASSAN PAKRAVAN; EXTREMIST PARTIES; GENERAL ALI KIA; GENERAL MOHAMMAD TAGHI MAJIDI
7,1,BANAT YAQUB BRIDGE; SYRIAN DELEGATION; UAR ARMY COMMANDER IN CHIEF AMIR; UN UNDER-SECRETARY BUNCHE,"{""LEVEL1_COMMUNITY"": 1}",BANAT YAQUB BRIDGE; SYRIAN DELEGATION; UAR ARMY COMMANDER IN CHIEF AMIR; UN UNDER-SECRETARY BUNCHE
8,1,CHINESE COMMUNIST 9TH ARMY GROUP; CHU CHIA-PI; POLISH INTERNAL SECURITY POLICE; POLISH PARTISANS,"{""LEVEL1_COMMUNITY"": 1}",CHINESE COMMUNIST 9TH ARMY GROUP; CHU CHIA-PI; POLISH INTERNAL SECURITY POLICE; POLISH PARTISANS
9,1,ALGERIAN PROBLEM; CFTC; CGT; RAILROAD FEDERATIONS,"{""LEVEL1_COMMUNITY"": 1}",ALGERIAN PROBLEM; CFTC; CGT; RAILROAD FEDERATIONS
10,1,"KOMSOMOL; LENIN LIBRARY; TRANSYLVANIAN AREA; Lecture on international events | A lecture where the speaker refused to discuss Hungary, leading to audience unrest. | Speech","{""LEVEL1_COMMUNITY"": 1}","KOMSOMOL; LENIN LIBRARY; TRANSYLVANIAN AREA; Lecture on international events | A lecture where the speaker refused to discuss Hungary, leading to audience unrest. | Speech"
11,1,CIVIL DEFENSE BILL; ITALIAN AIR FORCE; ITALIAN ARMY; ITALIAN NAVY,"{""LEVEL1_COMMUNITY"": 1}",CIVIL DEFENSE BILL; ITALIAN AIR FORCE; ITALIAN ARMY; ITALIAN NAVY
12,1,AMBASSADOR REISCHAUER; AYUB REGIME; FINANCE MINISTER MIZUTA; Negotiations on postwar aid | Japan is preparing to negotiate its obligations for postwar aid repayment. | Negotiation | mid-April 1961,"{""LEVEL1_COMMUNITY"": 1}",AMBASSADOR REISCHAUER; AYUB REGIME; FINANCE MINISTER MIZUTA; Negotiations on postwar aid | Japan is preparing to negotiate its obligations for postwar aid repayment. | Negotiation | mid-April 1961
13,1,BOTI; CUBAN ECONOMY; FRESQUET; PAZOS,"{""LEVEL1_COMMUNITY"": 1}",BOTI; CUBAN ECONOMY; FRESQUET; PAZOS
14,1,HSINCHU AIRFIELD; PENG MENG-CHI; Resupply Flight | Resupply flights from Hsinchu airfield to the border area. | MilitaryAction | 1960-01-01; Visit to Thailand | Visit of Peng Meng-chi to Thailand where airfield use was requested. | Travel | 1960-01-01,"{""LEVEL1_COMMUNITY"": 1}",HSINCHU AIRFIELD; PENG MENG-CHI; Resupply Flight | Resupply flights from Hsinchu airfield to the border area. | MilitaryAction | 1960-01-01; Visit to Thailand | Visit of Peng Meng-chi to Thailand where airfield use was requested. | Travel | 1960-01-01
